date,NIR,NDA,gov_account,banks_net,repo_total,repo_main,repo_long,repo_fine,repo_lombard,fx_swap_attract,deposits,deposit_auctions,reverse_repo,fx_swap_alloc,securities_issued,other_net,monetary_base,currency_outside_cba,corr_dram,corr_fx,other_banks_dram,other_banks_fx,other_residents,other_dram,other_fx
2025-09-08,1284970.1612776,655238.35464316,-615710.7498377,845875.6407244,550534.270583,550534.270583,NA,NA,NA,NA,11001.5821918,NA,NA,NA,NA,425073.46375646,1940208.5159208,1073875.0912556,364449.8014037,489908.7530308,1.3505322,104.6719836,5925.4975788,5943.3501361,11868.8477149
2025-09-09,1284530.6879457,656989.21773687,-612397.8386765,846036.3701341,550641.124698,550641.124698,NA,NA,NA,NA,11001.5821918,NA,NA,NA,NA,423350.68627927,1941519.9056826,1073079.6595437,368057.3737374,489248.6952298,1.3476176,104.8134745,6005.9654946,5022.050585,11028.0160796
2025-09-10,1273010.3851945,606182.8130145,-634663.778349,815449.1305015,520000,520000,NA,NA,NA,NA,11001.5821918,NA,NA,NA,NA,425397.460862,1879193.198209,1073885.2533047,306521.6534971,490135.3787111,1.3436893,104.4255245,3536.8104114,5008.3330709,8545.1434823
2025-09-11,1290967.8798933,607377.939914,-633945.7463761,816604.20929,520101.04012,520101.04012,NA,NA,NA,NA,10001.4383562,NA,NA,NA,NA,424719.4770001,1898345.8198073,1073253.8182277,328513.4132548,488553.7604812,1.3436893,104.4351507,3476.5825009,4442.4665027,7919.0490035999
2025-09-12,1296811.8937871,594022.77220987,-636080.395008,807755.6395439,520202.08024,520202.08024,NA,NA,NA,NA,19002.7328766,NA,NA,NA,NA,422347.52767397,1890834.665997,1076118.7590777,313194.1094278,492489.0306779,1.3458002,104.8478618,3571.2584913,5355.3146603,8926.5731516001
2025-09-15,1297068.8830705,582158.73966595,-636825.4715362,796218.8051653,520505.200597,520505.200597,NA,NA,NA,NA,31004.4589041,NA,NA,NA,NA,422765.40603685,1879227.6227364,1074552.2274357,296343.6101855,497466.9632932,1.3442615,116.3811563,5086.0161595,5661.0802447,10747.0964042
2025-09-16,1296783.4549974,530545.4880058,-631779.7187451,740383.4454979,520606.240717,520606.240717,NA,NA,NA,NA,86992.5108218,NA,NA,NA,NA,421941.761253,1827328.9430032,1071226.2419788,244798.3621235,500149.0452917,1.3442615,97.4056383,5293.8206913,5762.7230181,11056.5437094
2025-09-17,1287638.6962,708645.70854682,-635010.2958002,924694.3263067,617900,617900,NA,NA,NA,NA,NA,NA,NA,NA,NA,418961.67804032,1996284.4047468,1069555.7115888,423121.5615558,492111.9416275,1.3402885,135.7414503,5294.4919011,6063.6163348,11358.1082359
2025-09-18,1292794.7729828,686006.52336892,-662172.315223,924830.396478,618020.058685,618020.058685,NA,NA,NA,NA,NA,NA,NA,NA,NA,423348.44211392,1978801.2963517,1068180.8257676,400575.4948444,498759.9142234,1.3402885,135.624554,5034.9202794,6113.1763944,11148.0966738
2025-09-19,1312747.3286981,645109.82117627,-704272.8634762,927024.708768,618140.117363,618140.117363,NA,NA,NA,NA,NA,NA,NA,NA,NA,422357.97588447,1957857.1498744,1070941.5231976,374525.6380442,500294.0943216,1.3355707000000001,135.4365734,6218.1836195,5740.9385474,11959.1221669
2025-09-22,1308946.2291741,599688.6313357,-747709.241004,927543.945655,618500.293419,618500.293419,NA,NA,NA,NA,NA,NA,NA,NA,NA,419853.9266847,1908634.8605098,1069092.8640655,326579.2916596,497579.3499128,1.3355707000000001,168.4094771,9750.5761351,5463.033689,15213.6098241
2025-09-23,1292972.3397709,606457.03598295,-742132.9825202,927693.453226,618620.352102,618620.352102,NA,NA,NA,NA,NA,NA,NA,NA,NA,420896.56527715,1899429.3757539,1062479.0749098,324818.9312676,498751.9650802,1.4142623,168.2493061,7942.1791677,5267.5617602,13209.7409279
2025-09-24,1289528.1127303,863020.0274036,-741081.3962849,1181627.5518387,872500,625000,NA,247500,NA,NA,NA,NA,NA,NA,NA,422473.8718498,2152548.1401339,1056402.1010398,597529.1038271,485972.1172093,1.4113404,167.9962698,7907.882295,4567.5281525,12475.4104475
